Verification_ID,Agent_ID,Payment_Amount
VER-002583,AGT-023,15.5
VER-006591,AGT-019,15.5
VER-001298,AGT-030,15.5
VER-008981,AGT-008,15.5
VER-005699,AGT-040,15.5
VER-005736,AGT-028,15.5
VER-001113,AGT-004,15.5
VER-009937,AGT-022,15.5
VER-002013,AGT-008,15.5
VER-007873,AGT-012,15.5
VER-007362,AGT-039,15.5
VER-001796,AGT-041,15.5
VER-003956,AGT-031,15.5
VER-001146,AGT-047,15.5
VER-002336,AGT-043,15.5
VER-006153,AGT-040,15.5
VER-008352,AGT-028,15.5
VER-003446,AGT-036,15.5
VER-000677,AGT-044,15.5
VER-005172,AGT-028,15.5
VER-004544,AGT-013,15.5
VER-006583,AGT-023,15.5
VER-003351,AGT-021,15.5
VER-004476,AGT-040,15.5
VER-005222,AGT-030,15.5
VER-004506,AGT-027,15.5
VER-009374,AGT-005,15.5
VER-007282,AGT-017,15.5
VER-009007,AGT-025,15.5
VER-004727,AGT-028,15.5
VER-005235,AGT-015,15.5
VER-000669,AGT-007,15.5
VER-008241,AGT-018,15.5
VER-003474,AGT-012,15.5
VER-005703,AGT-043,15.5
VER-009775,AGT-005,15.5
VER-004123,AGT-007,15.5
VER-004478,AGT-021,15.5
VER-000097,AGT-045,15.5
VER-009307,AGT-041,15.5
VER-003033,AGT-049,15.5
VER-001786,AGT-013,15.5
VER-007820,AGT-009,15.5
VER-006356,AGT-024,15.5
VER-000593,AGT-013,15.5
VER-001209,AGT-033,15.5
VER-000120,AGT-008,15.5
VER-006097,AGT-045,15.5
VER-004902,AGT-040,15.5
VER-008789,AGT-048,15.5
VER-003289,AGT-037,15.5
VER-005341,AGT-012,15.5
VER-003911,AGT-021,15.5
VER-006495,AGT-012,15.5
VER-003025,AGT-038,15.5
VER-007717,AGT-002,15.5
VER-001394,AGT-009,15.5
VER-007999,AGT-021,15.5
VER-000959,AGT-015,15.5
VER-004992,AGT-047,15.5
VER-005945,AGT-020,15.5
VER-006798,AGT-014,15.5
VER-004253,AGT-040,15.5
VER-009560,AGT-015,15.5
VER-002516,AGT-002,15.5
VER-007154,AGT-018,15.5
VER-003860,AGT-032,15.5
VER-009884,AGT-013,15.5
VER-007803,AGT-034,15.5
VER-005427,AGT-045,15.5
VER-009508,AGT-036,15.5
VER-008687,AGT-016,15.5
VER-007133,AGT-024,15.5
VER-009315,AGT-048,15.5
VER-009031,AGT-034,15.5
VER-003569,AGT-033,15.5
VER-001161,AGT-002,15.5
VER-006559,AGT-025,15.5
VER-007350,AGT-034,15.5
VER-007304,AGT-030,15.5
VER-000519,AGT-045,15.5
VER-005782,AGT-003,15.5
VER-002997,AGT-004,15.5
VER-009052,AGT-026,15.5
VER-009653,AGT-008,15.5
VER-005273,AGT-011,15.5
VER-004282,AGT-028,15.5
VER-006023,AGT-050,15.5
VER-007489,AGT-045,15.5
VER-001499,AGT-017,15.5
VER-009001,AGT-009,15.5
VER-008701,AGT-026,15.5
VER-003001,AGT-007,15.5
VER-006759,AGT-005,15.5
VER-006744,AGT-021,15.5
VER-005665,AGT-021,15.5
VER-008112,AGT-007,15.5
VER-000484,AGT-026,15.5
VER-002615,AGT-021,15.5
VER-006146,AGT-027,15.5
VER-005728,AGT-040,15.5
VER-005748,AGT-017,15.5
VER-001122,AGT-040,15.5
VER-004626,AGT-049,15.5
VER-007162,AGT-007,15.5
VER-005260,AGT-048,15.5
VER-008389,AGT-020,15.5
VER-005854,AGT-040,15.5
VER-008093,AGT-032,15.5
VER-008577,AGT-042,15.5
VER-009229,AGT-031,15.5
VER-008910,AGT-033,15.5
VER-001808,AGT-007,15.5
VER-006524,AGT-013,15.5
VER-007662,AGT-046,15.5
VER-000108,AGT-017,15.5
VER-000674,AGT-006,15.5
VER-001748,AGT-027,15.5
VER-008424,AGT-034,15.5
VER-000501,AGT-048,15.5
VER-008250,AGT-042,15.5
VER-000275,AGT-007,15.5
VER-000796,AGT-005,15.5
VER-003111,AGT-007,15.5
VER-006370,AGT-021,15.5
VER-005604,AGT-012,15.5
VER-000884,AGT-031,15.5
VER-007597,AGT-040,15.5
VER-003296,AGT-009,15.5
VER-008960,AGT-039,15.5
VER-004005,AGT-017,15.5
VER-000762,AGT-018,15.5
VER-003016,AGT-019,15.5
VER-003211,AGT-032,15.5
VER-003571,AGT-039,15.5
VER-002485,AGT-037,15.5
VER-008418,AGT-039,15.5
VER-005943,AGT-005,15.5
VER-002679,AGT-015,15.5
VER-003439,AGT-007,15.5
VER-001852,AGT-023,15.5
VER-003616,AGT-023,15.5
VER-000534,AGT-033,15.5
VER-005139,AGT-011,15.5
VER-001454,AGT-007,15.5
VER-001414,AGT-045,15.5
VER-007309,AGT-005,15.5
VER-005668,AGT-040,15.5
VER-003913,AGT-012,15.5
VER-005980,AGT-032,15.5
VER-001083,AGT-030,15.5
VER-006809,AGT-037,15.5
VER-006516,AGT-008,15.5
VER-001719,AGT-025,15.5
VER-001966,AGT-015,15.5
VER-009515,AGT-043,15.5
VER-002649,AGT-015,15.5
VER-007586,AGT-037,15.5
VER-004881,AGT-027,15.5
VER-000305,AGT-035,15.5
VER-005136,AGT-014,15.5
VER-003027,AGT-036,15.5
VER-005350,AGT-011,15.5
VER-006078,AGT-012,15.5
VER-004925,AGT-038,15.5
VER-000409,AGT-024,15.5
VER-008144,AGT-050,15.5
VER-005507,AGT-032,15.5
VER-006121,AGT-017,15.5
VER-004036,AGT-012,15.5
VER-006812,AGT-010,15.5
VER-004050,AGT-050,15.5
VER-009285,AGT-002,15.5
VER-002389,AGT-013,15.5
VER-001769,AGT-007,15.5
VER-006217,AGT-019,15.5
VER-006400,AGT-045,15.5
VER-004487,AGT-029,15.5
VER-008606,AGT-047,15.5
VER-000488,AGT-029,15.5
VER-001689,AGT-050,15.5
VER-009782,AGT-035,15.5
VER-004622,AGT-032,15.5
VER-009676,AGT-038,15.5
VER-007758,AGT-048,15.5
VER-004342,AGT-041,15.5
VER-003870,AGT-011,15.5
VER-007214,AGT-044,15.5
VER-001480,AGT-022,15.5
VER-009523,AGT-044,15.5
VER-007523,AGT-041,15.5
VER-003615,AGT-046,15.5
VER-000734,AGT-038,15.5
VER-009583,AGT-017,15.5
VER-004327,AGT-044,15.5
VER-003356,AGT-018,15.5
VER-002292,AGT-012,15.5
VER-002738,AGT-017,15.5
VER-001704,AGT-034,15.5
VER-003621,AGT-049,15.5
VER-002021,AGT-016,15.5
VER-009572,AGT-028,15.5
VER-005767,AGT-050,15.5
VER-005647,AGT-025,15.5
VER-001057,AGT-013,15.5
VER-002019,AGT-011,15.5
VER-007107,AGT-031,15.5
VER-004166,AGT-010,15.5
VER-005708,AGT-029,15.5
VER-006366,AGT-028,15.5
VER-001759,AGT-048,15.5
VER-006106,AGT-041,15.5
VER-003861,AGT-006,15.5
VER-000322,AGT-014,15.5
VER-007314,AGT-037,15.5
VER-005029,AGT-047,15.5
VER-007725,AGT-048,15.5
VER-007592,AGT-017,15.5
VER-008573,AGT-030,15.5
VER-000915,AGT-049,15.5
VER-007163,AGT-027,15.5
VER-007808,AGT-018,15.5
VER-004631,AGT-014,15.5
VER-009485,AGT-025,15.5
VER-004430,AGT-035,15.5
VER-002992,AGT-039,15.5
VER-000081,AGT-008,15.5
VER-003834,AGT-037,15.5
VER-007394,AGT-020,15.5
VER-004958,AGT-045,15.5
VER-003291,AGT-030,15.5
VER-006379,AGT-012,15.5
VER-002857,AGT-034,15.5
VER-000336,AGT-030,15.5
VER-000132,AGT-027,15.5
VER-007518,AGT-023,15.5
VER-001489,AGT-017,15.5
VER-001181,AGT-045,15.5
VER-006832,AGT-047,15.5
VER-000867,AGT-017,15.5
VER-007310,AGT-005,15.5
VER-000368,AGT-049,15.5
VER-006228,AGT-005,15.5
VER-006663,AGT-017,15.5
VER-005577,AGT-004,15.5
VER-003711,AGT-033,15.5
VER-002803,AGT-020,15.5
VER-009932,AGT-003,15.5
VER-000331,AGT-048,15.5
VER-009512,AGT-012,15.5
VER-008836,AGT-039,15.5
VER-003078,AGT-020,15.5
VER-001741,AGT-045,15.5
VER-008329,AGT-024,15.5
VER-004217,AGT-007,15.5
VER-008480,AGT-013,15.5
VER-002587,AGT-006,15.5
VER-007848,AGT-009,15.5
VER-002169,AGT-006,15.5
VER-003035,AGT-018,15.5
VER-008863,AGT-001,15.5
VER-008627,AGT-011,15.5
VER-001531,AGT-021,15.5
VER-000260,AGT-033,15.5
VER-005956,AGT-044,15.5
VER-009612,AGT-024,15.5
VER-000458,AGT-017,15.5
VER-008898,AGT-017,15.5
VER-002151,AGT-008,15.5
VER-004668,AGT-007,15.5
VER-009120,AGT-030,15.5
VER-006724,AGT-044,15.5
VER-005021,AGT-036,15.5
VER-006886,AGT-039,15.5
VER-009032,AGT-037,15.5
VER-000032,AGT-042,15.5
VER-008362,AGT-007,15.5
VER-006450,AGT-029,15.5
VER-002814,AGT-043,15.5
VER-008992,AGT-033,15.5
VER-000775,AGT-032,15.5
VER-002341,AGT-050,15.5
VER-008315,AGT-018,15.5
VER-001834,AGT-018,15.5
VER-005423,AGT-046,15.5
VER-007368,AGT-030,15.5
VER-002944,AGT-001,15.5
VER-005251,AGT-022,15.5
VER-002200,AGT-047,15.5
VER-009712,AGT-042,15.5
VER-003132,AGT-004,15.5
VER-003273,AGT-003,15.5
VER-000374,AGT-032,15.5
VER-007401,AGT-049,15.5
VER-001924,AGT-030,15.5
VER-005196,AGT-002,15.5
VER-006742,AGT-042,15.5
VER-009271,AGT-027,15.5
VER-002120,AGT-039,15.5
VER-000170,AGT-028,15.5
VER-002089,AGT-012,15.5
VER-001617,AGT-029,15.5
VER-005283,AGT-032,15.5
VER-009212,AGT-029,15.5
VER-007088,AGT-013,15.5
VER-006204,AGT-045,15.5
VER-008236,AGT-038,15.5
VER-004013,AGT-032,15.5
VER-001148,AGT-033,15.5
VER-006126,AGT-011,15.5
VER-004824,AGT-050,15.5
VER-003026,AGT-031,15.5
VER-000316,AGT-016,15.5
VER-001776,AGT-010,15.5
VER-009382,AGT-015,15.5
VER-005506,AGT-046,15.5
VER-008539,AGT-050,15.5
VER-002305,AGT-038,15.5
VER-001339,AGT-003,15.5
VER-003838,AGT-034,15.5
VER-004962,AGT-005,15.5
VER-008373,AGT-014,15.5
VER-006378,AGT-034,15.5
VER-000048,AGT-050,15.5
VER-006850,AGT-028,15.5
VER-004044,AGT-032,15.5
VER-006725,AGT-038,15.5
VER-009670,AGT-028,15.5
VER-003096,AGT-046,15.5
VER-003947,AGT-002,15.5
VER-007887,AGT-040,15.5
VER-004602,AGT-041,15.5
VER-004296,AGT-049,15.5
VER-003579,AGT-037,15.5
VER-004599,AGT-039,15.5
VER-002532,AGT-016,15.5
VER-001968,AGT-022,15.5
VER-004542,AGT-041,15.5
VER-004943,AGT-020,15.5
VER-002524,AGT-022,15.5
VER-001733,AGT-048,15.5
VER-002920,AGT-013,15.5
VER-007108,AGT-025,15.5
VER-003896,AGT-005,15.5
VER-005322,AGT-029,15.5
VER-007383,AGT-050,15.5
VER-001672,AGT-034,15.5
VER-003283,AGT-001,15.5
VER-008031,AGT-046,15.5
VER-008698,AGT-002,15.5
VER-009427,AGT-049,15.5
VER-004581,AGT-037,15.5
VER-003781,AGT-047,15.5
VER-004823,AGT-010,15.5
VER-000533,AGT-035,15.5
VER-003661,AGT-002,15.5
VER-003874,AGT-027,15.5
VER-005425,AGT-007,15.5
VER-003018,AGT-046,15.5
VER-004011,AGT-008,15.5
VER-005475,AGT-040,15.5
VER-004772,AGT-015,15.5
VER-005522,AGT-042,15.5
VER-002408,AGT-028,15.5
VER-009747,AGT-044,15.5
VER-004150,AGT-018,15.5
VER-003551,AGT-045,15.5
VER-005403,AGT-049,15.5
VER-007742,AGT-013,15.5
VER-007635,AGT-026,15.5
VER-000590,AGT-037,15.5
VER-001955,AGT-038,15.5
VER-005034,AGT-008,15.5
VER-006821,AGT-025,15.5
VER-009635,AGT-023,15.5
VER-009382,AGT-015,15.5
VER-001248,AGT-010,15.5
VER-000543,AGT-010,15.5
VER-000995,AGT-006,15.5
VER-006461,AGT-001,15.5
VER-008754,AGT-028,15.5
VER-007461,AGT-015,15.5
VER-007696,AGT-011,15.5
VER-006395,AGT-018,15.5
VER-004421,AGT-025,15.5
VER-004522,AGT-031,15.5
VER-004210,AGT-037,15.5
VER-009707,AGT-048,15.5
VER-007048,AGT-024,15.5
VER-006621,AGT-041,15.5
VER-009279,AGT-046,15.5
VER-004186,AGT-017,15.5
VER-004405,AGT-027,15.5
VER-006791,AGT-008,15.5
VER-004285,AGT-001,15.5
VER-001150,AGT-039,15.5
VER-006546,AGT-038,15.5
VER-009025,AGT-005,15.5
VER-003112,AGT-035,15.5
VER-003054,AGT-039,15.5
VER-006598,AGT-028,15.5
VER-002237,AGT-049,15.5
VER-009636,AGT-021,15.5
VER-000296,AGT-033,15.5
VER-001942,AGT-021,15.5
VER-003161,AGT-049,15.5
VER-003545,AGT-027,15.5
VER-004395,AGT-028,15.5
VER-004830,AGT-028,15.5
VER-000287,AGT-009,15.5
VER-006401,AGT-016,15.5
VER-001023,AGT-020,15.5
VER-009608,AGT-017,15.5
VER-006927,AGT-021,15.5
VER-006930,AGT-021,15.5
VER-000334,AGT-022,15.5
VER-003858,AGT-044,15.5
VER-004369,AGT-008,15.5
VER-007524,AGT-023,15.5
VER-004819,AGT-006,15.5
VER-007094,AGT-009,15.5
VER-000928,AGT-017,15.5
VER-004027,AGT-018,15.5
VER-007016,AGT-029,15.5
VER-004788,AGT-025,15.5
VER-003843,AGT-021,15.5
VER-002860,AGT-015,15.5
VER-004970,AGT-033,15.5
VER-006563,AGT-046,15.5
VER-007674,AGT-029,15.5
VER-009286,AGT-040,15.5
VER-008778,AGT-006,15.5
VER-002192,AGT-024,15.5
VER-007987,AGT-048,15.5
VER-007757,AGT-037,15.5
VER-008607,AGT-038,15.5
VER-000409,AGT-024,15.5
VER-001114,AGT-025,15.5
VER-000953,AGT-043,15.5
VER-001874,AGT-011,15.5
VER-008025,AGT-012,15.5
VER-009632,AGT-028,15.5
VER-004270,AGT-026,15.5
VER-008881,AGT-036,15.5
VER-000901,AGT-005,15.5
VER-007210,AGT-027,15.5
VER-004526,AGT-010,15.5
VER-003593,AGT-013,15.5
VER-004512,AGT-024,15.5
VER-003266,AGT-042,15.5
VER-004520,AGT-045,15.5
VER-004920,AGT-028,15.5
VER-000211,AGT-003,15.5
VER-002329,AGT-034,15.5
VER-003017,AGT-049,15.5
VER-007290,AGT-022,15.5
VER-001352,AGT-032,15.5
VER-003527,AGT-044,15.5
VER-007213,AGT-007,15.5
VER-008193,AGT-027,15.5
VER-009135,AGT-050,15.5
VER-004868,AGT-030,15.5
VER-005966,AGT-020,15.5
VER-007713,AGT-028,15.5
VER-004364,AGT-043,15.5
VER-006019,AGT-030,15.5
VER-003003,AGT-029,15.5
VER-008238,AGT-028,15.5
VER-003882,AGT-035,15.5
VER-001512,AGT-044,15.5
VER-007741,AGT-006,15.5
VER-007263,AGT-049,15.5
VER-006120,AGT-007,15.5
VER-001112,AGT-026,15.5
VER-000107,AGT-011,15.5
VER-006038,AGT-023,15.5
VER-005275,AGT-038,15.5
VER-000591,AGT-012,15.5
VER-005957,AGT-015,15.5
VER-001124,AGT-032,15.5
VER-001887,AGT-019,15.5
VER-009329,AGT-005,15.5
VER-004510,AGT-029,15.5
VER-001361,AGT-021,15.5
VER-008702,AGT-038,15.5
VER-001495,AGT-002,15.5
VER-006843,AGT-027,15.5
VER-009141,AGT-041,15.5
VER-009420,AGT-024,15.5
VER-002930,AGT-039,15.5
VER-007620,AGT-004,15.5
VER-006214,AGT-036,15.5
VER-001769,AGT-007,15.5
VER-002955,AGT-046,15.5
VER-006828,AGT-036,15.5
VER-005266,AGT-007,15.5
VER-002358,AGT-022,15.5
VER-008559,AGT-049,15.5
VER-008130,AGT-047,15.5
VER-003685,AGT-038,15.5
VER-005804,AGT-047,15.5
VER-005663,AGT-021,15.5
VER-000030,AGT-049,15.5
VER-009780,AGT-009,15.5
VER-009121,AGT-026,15.5
VER-002448,AGT-037,15.5
VER-008694,AGT-013,15.5
VER-000961,AGT-037,15.5
VER-002969,AGT-017,15.5
VER-007914,AGT-002,15.5
VER-005658,AGT-046,15.5
VER-002240,AGT-008,15.5
VER-002875,AGT-032,15.5
VER-003008,AGT-016,15.5
VER-003622,AGT-047,15.5
VER-003895,AGT-003,15.5
VER-007975,AGT-013,15.5
VER-000109,AGT-008,15.5
VER-007553,AGT-032,15.5
VER-006976,AGT-023,15.5
VER-004951,AGT-027,15.5
VER-001985,AGT-026,15.5
VER-008744,AGT-014,15.5
VER-005400,AGT-013,15.5
VER-006878,AGT-012,15.5
VER-003820,AGT-017,15.5
VER-009566,AGT-032,15.5
VER-003126,AGT-036,15.5
VER-007067,AGT-018,15.5
VER-005265,AGT-029,15.5
VER-008486,AGT-049,15.5
VER-006946,AGT-015,15.5
VER-006216,AGT-039,15.5
VER-006786,AGT-047,15.5
VER-008514,AGT-040,15.5
VER-003012,AGT-030,15.5
VER-004742,AGT-025,15.5
VER-007773,AGT-026,15.5
VER-007719,AGT-009,15.5
VER-004113,AGT-028,15.5
VER-000266,AGT-011,15.5
VER-004705,AGT-020,15.5
VER-003131,AGT-021,15.5
VER-003693,AGT-009,15.5
VER-002338,AGT-023,15.5
VER-005329,AGT-020,15.5
VER-000308,AGT-035,15.5
VER-005939,AGT-025,15.5
VER-005763,AGT-012,15.5
VER-009174,AGT-035,15.5
VER-009469,AGT-007,15.5
VER-009664,AGT-047,15.5
VER-001598,AGT-018,15.5
VER-004485,AGT-050,15.5
VER-002883,AGT-049,15.5
VER-000294,AGT-020,15.5
VER-005805,AGT-034,15.5
VER-000129,AGT-044,15.5
VER-000766,AGT-002,15.5
VER-008340,AGT-045,15.5
VER-005679,AGT-047,15.5
VER-000428,AGT-022,15.5
VER-002392,AGT-049,15.5
VER-005258,AGT-046,15.5
VER-000577,AGT-024,15.5
VER-004464,AGT-005,15.5
VER-004554,AGT-047,15.5
VER-003985,AGT-039,15.5
VER-001370,AGT-023,15.5
VER-006259,AGT-024,15.5
VER-009534,AGT-028,15.5
VER-009455,AGT-020,15.5
VER-000015,AGT-024,15.5
VER-005153,AGT-048,15.5
VER-006095,AGT-028,15.5
VER-005713,AGT-006,15.5
VER-006433,AGT-015,15.5
VER-003689,AGT-018,15.5
VER-001906,AGT-025,15.5
VER-009848,AGT-036,15.5
VER-003456,AGT-041,15.5
VER-006180,AGT-003,15.5
VER-002508,AGT-003,15.5
VER-002628,AGT-025,15.5
VER-008222,AGT-036,15.5
VER-005655,AGT-032,15.5
VER-003434,AGT-019,15.5
VER-009606,AGT-044,15.5
VER-001471,AGT-011,15.5
VER-000737,AGT-028,15.5
VER-000736,AGT-024,15.5
VER-004973,AGT-009,15.5
VER-006782,AGT-003,15.5
VER-003056,AGT-026,15.5
VER-003754,AGT-011,15.5
VER-000093,AGT-045,15.5
VER-007361,AGT-043,15.5
VER-005747,AGT-032,15.5
VER-003937,AGT-015,15.5
VER-006779,AGT-013,15.5
VER-004891,AGT-039,15.5
VER-008726,AGT-029,15.5
VER-000497,AGT-012,15.5
VER-007775,AGT-008,15.5
VER-009654,AGT-004,15.5
VER-003066,AGT-045,15.5
VER-007293,AGT-016,15.5
VER-006605,AGT-045,15.5
VER-005270,AGT-018,15.5
VER-000399,AGT-009,15.5
VER-006480,AGT-001,15.5
VER-008531,AGT-007,15.5
VER-004072,AGT-049,15.5
VER-004909,AGT-018,15.5
VER-001108,AGT-037,15.5
VER-003205,AGT-047,15.5
VER-009321,AGT-034,15.5
VER-005860,AGT-011,15.5
VER-002928,AGT-029,15.5
VER-005175,AGT-017,15.5
VER-008782,AGT-002,15.5
VER-009575,AGT-009,15.5
VER-008856,AGT-004,15.5
VER-001878,AGT-044,15.5
VER-001407,AGT-017,15.5
VER-004336,AGT-050,15.5
VER-001663,AGT-007,15.5
VER-008732,AGT-022,15.5
VER-009844,AGT-049,15.5
VER-004851,AGT-047,15.5
VER-006368,AGT-039,15.5
VER-008385,AGT-022,15.5
VER-005453,AGT-029,15.5
VER-005065,AGT-013,15.5
VER-007325,AGT-022,15.5
VER-000389,AGT-022,15.5
VER-000837,AGT-047,15.5
VER-008857,AGT-020,15.5
VER-001661,AGT-034,15.5
VER-003438,AGT-045,15.5
VER-004541,AGT-047,15.5
VER-006189,AGT-037,15.5
